    TIME              DATE               BHP         BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR     FOPR     FOPT     FWPR     FWPT     FWIR      FWIT   
        1265       6/19/2001                 90.73   125.93    99.22    93.33   112.96   115.90   103.27    99.35    49.48   100.07   128.63   126.26   128.43   106.54    82.02    99.46   106.61   117.56   116.91   125.33   141.14   145.95   145.35   143.82   143.81   142.32   144.24   143.97   142.36   142.50   320.33   311.55   312.50   321.14   267.11   314.24   324.94   326.56    91.50   315.80   308.21   152.88   261.78   272.59   121.66   319.46   313.95   218.02   310.77   156.50     0.00     0.00     0.00     0.00    47.39     0.00     0.00     0.00     2.32     0.00     0.00   173.63    51.19    55.06   209.88     0.00     0.00   103.17     0.00   147.48   5412.8  5802840    769.5   278729   6359.2   3351300
        1295       7/19/2001                 91.13   125.65    99.47    93.40   112.89   116.22   103.97    98.47    50.80    99.80   127.49   125.88   128.86   104.84    82.62    99.42   106.06   116.69   117.29   125.12   141.26   145.81   145.77   143.26   143.85   143.84   142.99   143.20   142.26   142.62   316.32   312.83   319.27   316.11   262.24   312.95   315.87   317.70    84.11   314.31   311.90   139.68   269.04   267.82   112.45   315.87   311.98   209.55   319.75   168.86     0.00     0.00     0.00     0.00    60.49     0.00     0.00     0.00     7.70     0.00     2.42   167.38    56.69    50.43   204.01     0.00     0.00   107.59     0.00   155.76   5341.5  5963080    790.1   302433   6359.2   3542070
        1326       8/19/2001                 90.66   125.15    98.34    92.55   112.51   116.81   104.36    99.57    49.33    97.51   129.79   125.98   127.90   104.69    81.92    99.21   107.06   117.01   117.66   124.77   141.82   145.73   145.00   143.33   144.58   142.16   144.38   143.69   141.99   142.69   327.56   317.26   322.84   311.63   253.65   315.70   321.48   324.79    93.16   307.84   313.50   133.06   259.02   255.55    98.81   310.29   315.89   204.27   319.67   150.75     0.00     0.00     0.00     0.00    67.05     0.00     0.00     0.00     7.68     7.71     3.57   175.11    55.78    58.69   215.79     0.00     0.00   117.46     0.00   150.31   5298.6  6127340    812.5   327619   6359.2   3739210
        1356       9/18/2001                 90.32   125.42    99.49    93.51   112.71   116.36   103.93    98.54    49.46    97.56   129.02   126.57   128.96   106.06    83.66    98.99   105.89   116.15   118.04   126.01   141.94   146.00   145.12   143.09   144.08   142.58   143.89   144.86   142.85   141.64   322.98   318.40   315.52   317.26   253.40   318.30   317.48   323.99    93.81   317.13   311.44   131.04   259.46   244.53   100.52   316.21   310.20   187.54   329.06   155.29     0.00     0.00     0.00     0.00    57.32     0.00     0.00     0.00     0.26    10.36     1.01   184.29    68.13    67.92   214.24     0.00     3.37   125.65     0.00   164.10   5256.7  6285040    859.2   353394   6359.2   3929990
        1386       10/18/2001                90.30   125.99    98.86    93.59   111.68   116.39   104.19    99.13    49.92    97.62   127.90   125.32   129.30   104.20    82.92    98.63   104.97   116.39   116.87   124.88   142.77   146.09   145.15   143.28   144.38   142.41   143.95   144.19   143.00   142.72   311.19   320.28   313.70   321.92   246.52   313.15   312.17   309.87    89.93   308.04   302.04   132.70   256.16   242.92    94.64   311.79   314.15   183.18   315.06   152.10     0.00     0.00     0.00     0.00    65.24     0.00     0.00     0.00    18.54     4.75    11.28   192.35    54.23    77.48   219.82     0.00    13.63   128.51     0.00   163.58   5243.6  6442350    896.7   380293   6359.2   4120760
        1417       11/18/2001                90.66   126.21    98.02    92.98   111.81   116.62   103.08    99.27    50.47    97.22   129.29   126.55   129.00   104.75    84.35    98.84   105.76   117.40   117.47   126.18   143.50   146.04   146.07   144.10   144.20   142.41   143.80   144.03   142.95   142.08   335.38   324.68   321.84   310.76   250.69   322.18   316.95   309.02    96.15   304.81   305.66   127.06   254.76   233.00    93.72   318.01   302.19   177.52   318.98   144.28     0.00     0.00     0.00     0.00    81.35     0.00     0.00     0.00     9.31    14.59     8.33   184.74    72.16    79.64   231.95     0.00    14.41   124.63     0.00   178.09   5151.5  6602050    949.4   409725   6359.2   4317900
        1447       12/18/2001                90.14   126.21    98.35    93.23   113.00   116.44   103.67    98.86    49.85    97.71   128.43   126.45   129.55   104.17    84.68    99.18   104.66   116.64   116.89   125.83   142.52   145.72   145.86   142.64   144.86   142.78   143.94   145.00   143.21   142.97   325.22   324.84   313.94   312.93   239.97   319.77   322.20   315.66    91.91   305.52   300.43   120.07   253.15   230.36    87.18   322.78   303.74   169.46   323.59   130.11     0.00     0.00     0.00     0.00    79.19     0.00     0.00     0.00     7.59     4.88    13.11   195.61    59.79    79.65   230.07     0.00    25.18   142.30     0.00   188.41   5167.7  6757080    999.2   439701   6359.2   4508670
        1478       1/18/2002                 89.90   127.13    99.20    93.06   112.00   117.02   103.02    98.25    50.62    97.96   128.44   127.52   129.73   105.30    85.30    98.79   104.58   116.12   117.59   125.56   143.40   145.83   146.50   144.04   144.24   143.21   144.29   143.88   143.02   143.39   315.51   319.51   313.64   321.44   240.20   311.04   317.45   318.41    96.22   304.57   296.50   118.70   248.42   222.83    81.02   322.55   298.21   179.11   318.91   135.06     0.00     0.00     0.00     0.00    82.70     0.00     0.00     0.00    16.68    11.12    13.95   205.48    79.07    95.56   236.92     0.00    27.56   153.16     0.00   182.98   5112.8  6915570   1025.8   471500   6359.2   4705810
        1508       2/17/2002                 89.83   126.15    99.15    93.59   112.03   117.23   103.13    99.11    49.53    96.64   127.89   126.18   128.18   103.39    85.84    99.14   103.79   116.32   117.35   124.67   142.10   146.70   144.92   143.82   143.44   143.23   143.77   145.07   142.95   143.19   313.84   316.71   328.48   320.03   241.45   314.91   321.71   321.41    98.92   315.96   304.32   106.82   243.11   233.01    89.32   319.73   278.85   171.19   310.20   130.19     0.00     0.00     0.00     0.00    79.29     0.00     0.00     0.00     4.29    10.39    14.88   204.70    78.06    77.28   231.23     0.00    32.77   148.95     0.00   194.55   5079.3  7067950   1105.2   504655   6359.2   4896580
        1539       3/20/2002                 91.25   127.21    98.84    92.37   112.10   116.49   103.41    98.52    50.43    96.92   128.33   127.16   129.19   104.30    86.38    99.07   102.56   117.32   117.06   125.81   142.57   146.87   145.94   143.93   145.09   142.91   144.10   144.62   143.65   142.62   314.46   323.97   329.11   317.61   227.83   319.19   314.95   318.37    87.16   305.28   299.94   115.46   243.43   214.03    85.54   313.20   264.63   157.30   300.12   121.66     0.00     0.00     0.00     0.00    94.18     0.00     0.00     0.00     7.05    12.91    19.30   203.49    68.67    96.56   240.82     0.00    40.46   157.07     2.04   202.66   5080.2  7225440   1076.4   538024   6359.2   5093720
        1569       4/19/2002                 90.69   125.92    98.81    92.56   112.52   117.43   104.45    98.59    49.59    96.70   128.28   127.24   129.56   104.44    87.26    98.53   102.95   117.06   116.99   125.38   142.03   146.05   145.25   143.39   143.92   143.47   145.02   144.90   143.65   143.36   317.61   312.45   319.65   315.54   227.86   316.43   320.02   313.58    91.26   305.59   290.19   108.94   245.20   213.90    71.96   314.63   257.35   153.06   314.73   112.48     0.00     0.00     0.00     0.00   102.55     0.00     0.00     0.00     1.51    12.55    16.75   214.21    79.49   100.43   232.52     0.00    56.80   163.67     7.35   199.78   4973.2  7374630   1145.2   572380   6359.2   5284490
        1599       5/19/2002                 89.44   126.94    97.83    92.56   111.66   116.35   104.09    98.86    49.22    97.53   128.44   128.15   129.04   104.05    87.64    98.48   101.61   117.11   116.97   126.82   143.48   146.27   145.24   143.07   144.84   143.57   144.76   144.98   143.29   142.95   319.52   313.05   309.44   307.01   223.37   315.09   326.43   317.62    89.93   309.48   293.56   103.63   234.85   217.41    80.16   320.18   240.78   145.31   295.42   107.88     0.00     0.00     0.00     0.00    94.56     0.00     0.00     0.00     7.61    14.29    24.69   219.26    83.66    98.42   251.18     0.00    81.73   165.47    21.16   221.19   4922.4  7522310   1187.6   608008   6359.2   5475270
        1630       6/19/2002                 89.59   125.20    99.15    92.61   112.47   117.11   104.25    98.92    49.99    94.39   128.71   126.27   129.12   104.33    88.03    98.34   101.84   117.17   116.40   126.39   142.34   147.55   146.76   144.19   145.22   142.83   144.17   144.81   142.32   143.29   318.70   318.37   312.07   324.25   217.33   316.10   321.22   314.45    99.99   312.71   296.23    98.03   237.17   206.22    72.47   309.83   219.44   146.27   295.77   111.56     0.00     0.00     0.00     0.00    94.45     0.00     0.00     0.00     5.59    13.88    26.89   219.95    82.46   108.79   243.97     0.00    86.70   169.11    21.73   210.45   4870.1  7673280   1283.2   647788   6359.2   5672400
        1660       7/19/2002                 89.88   126.88    99.03    92.14   112.34   116.63   104.19    99.64    50.35    95.41   129.56   128.07   130.34   103.71    89.28    99.03   101.83   117.63   116.98   125.89   142.97   146.20   146.09   144.97   145.02   142.92   144.98   144.43   143.98   143.31   317.92   314.72   319.37   315.94   212.62   326.89   309.06   313.54   102.34   298.31   290.50    99.77   231.28   204.84    63.47   320.12   224.37   143.50   294.88    99.56     0.00     0.00     0.00     0.00   107.87     0.00     0.00     0.00    17.78    22.02    27.21   220.69    80.66   115.11   242.54     0.00   106.33   175.79    24.26   221.17   4848.2  7818730   1284.0   686307   6359.2   5863180
        1691       8/19/2002                 90.69   126.82    98.69    93.18   111.72   117.14   104.42    99.02    49.36    95.04   128.57   127.01   129.54   104.56    89.23    98.97   101.21   118.27   117.24   125.88   142.68   146.57   146.42   144.46   146.10   143.88   143.86   144.34   142.41   141.85   320.06   316.10   313.83   302.64   204.66   320.04   318.50   315.22   102.91   303.39   292.07    90.73   224.38   196.31    62.32   308.48   203.49   130.43   295.74    93.82     0.00     0.00     0.00     0.00   104.72     0.00     0.00     0.00     4.32    15.51    31.19   219.90    92.78   120.52   247.88     0.00   122.15   182.19    26.98   224.08   4803.0  7967620   1361.4   728511   6359.2   6060320
        1721       9/18/2002                 90.33   126.74    99.28    92.95   112.97   118.02   104.00    99.67    49.32    96.05   128.74   127.31   130.41   104.96    89.07    98.52   102.01   117.96   117.21   126.37   143.56   146.68   146.14   144.39   145.02   143.44   145.05   144.78   143.33   143.57   304.55   314.24   321.03   315.42   206.85   311.77   319.49   313.24    99.14   295.78   291.36    86.58   221.18   201.07    69.06   324.18   192.28   129.82   281.65    87.29     0.00     0.00     0.00     0.00   112.56     0.00     0.00     0.00    14.28    22.14    34.92   223.72    84.92   122.45   250.32     0.00   133.88   182.31    26.29   223.07   4715.1  8109070   1392.2   770278   6359.2   6251090
        1751       10/18/2002                90.50   127.09    98.35    92.76   112.83   117.21   103.32    98.95    50.44    95.51   128.60   126.58   129.42   105.04    89.48    98.46   102.34   117.05   116.77   126.58   143.03   146.61   147.05   144.29   144.06   143.37   144.00   144.17   143.46   143.05   315.27   314.45   317.62   315.20   204.45   320.88   315.02   315.77    97.16   296.72   281.49    87.60   225.37   190.03    63.10   319.73   180.19   132.11   279.18    90.03     0.00     0.00     0.00     0.00   114.67     0.00     0.00     0.00     0.83    14.46    25.85   229.71    88.44   129.79   259.09     0.00   143.87   191.25    35.21   234.62   4686.0  8249650   1430.9   813204   6359.2   6441870
        1782       11/18/2002                90.42   127.27    98.86    92.69   113.72   116.77   105.57    98.96    50.23    95.38   128.00   127.08   129.67   103.77    90.19    99.33   103.88   118.13   117.15   126.73   143.03   146.89   146.85   145.35   145.66   143.79   145.13   145.27   144.40   142.71   315.04   315.95   318.37   318.64   197.87   311.22   324.08   314.60    99.73   308.15   274.27    90.13   220.46   183.42    56.89   319.35   167.97   125.12   282.44    82.44     0.00     0.00     0.00     0.00   119.18     0.00     0.00     0.00     8.94    15.79    41.84   233.60    90.01   130.54   257.19     0.00   150.47   189.64    34.02   233.54   4661.4  8394160   1467.8   858705   6359.2   6639000
        1812       12/18/2002                90.97   127.22    99.70    92.29   113.41   117.82   104.94    99.77    50.48    94.91   128.75   128.12   129.58   104.55    90.68    99.78   103.72   119.16   117.93   126.31   142.87   147.51   146.66   144.89   145.02   143.90   146.00   144.80   143.80   143.92   314.30   321.27   316.72   319.95   198.81   317.04   321.66   316.72    96.13   296.25   277.27    80.05   219.67   187.00    64.08   311.55   157.49   121.54   273.57    86.53     0.00     0.00     0.00     0.00   117.25     0.00     0.00     0.00     3.52    10.12    42.54   241.64   100.96   140.22   268.49     0.00   161.85   202.82    38.66   233.20   4626.1  8532940   1504.8   903848   6359.2   6829780
        1843       1/18/2003                 90.18   127.05   100.13    92.75   113.50   117.43   103.08   100.25    50.53    94.76   128.55   127.39   130.39   105.35    91.78    98.69   103.29   118.00   117.77   126.80   143.26   146.62   146.03   144.77   146.66   143.81   145.63   144.06   144.16   143.68   315.59   324.97   321.71   323.34   193.34   318.05   308.74   317.73   103.30   305.08   264.33    84.69   225.49   179.54    70.76   310.70   153.26   118.86   276.64    74.71     0.00     0.00     0.00     0.00   125.90     0.00     0.00     0.00    12.61    20.04    45.56   239.98    95.54   141.17   258.68     0.00   183.21   199.49    45.33   242.95   4597.6  8675470   1561.3   952248   6359.2   7026910
        1873       2/17/2003                 90.78   127.30   100.12    93.28   112.38   117.67   104.31    99.52    50.10    95.37   128.20   129.32   129.39   105.39    92.01    97.29   103.60   118.51   117.92   125.98   144.56   147.52   147.37   144.76   144.65   143.31   144.34   145.97   144.24   143.28   323.43   322.35   319.93   313.45   198.38   318.24   323.90   324.71    98.76   297.09   262.13    75.11   222.85   176.76    60.42   314.81   147.01   117.32   266.77    76.81     0.00     0.00     0.00     0.00   134.65     0.00     0.00     0.00    10.48    22.83    51.71   233.56   102.13   132.60   259.10     0.00   179.17   201.67    47.49   241.15   4590.8  8813190   1610.5  1000560   6359.2   7217690
        1904       3/20/2003                 90.21   126.96    99.72    92.78   113.47   118.60   104.29    99.55    50.13    94.66   128.20   127.97   129.92   105.25    92.49    98.17   103.44   118.35   118.34   126.26   143.26   146.98   147.54   144.15   144.49   143.84   144.56   145.19   143.72   144.79   321.86   321.61   307.26   312.10   194.00   313.03   311.28   313.66   100.25   302.96   262.75    79.90   220.26   169.62    52.49   311.14   133.44   120.30   271.27    79.54     0.00     0.00     0.00     0.00   126.32     0.00     0.00     0.00    11.96    20.68    49.99   241.79    94.50   135.74   262.46     0.00   184.80   205.78    43.10   241.69   4560.2  8954560   1616.5  1050670   6359.2   7414820
        1934       4/19/2003                 91.10   128.28    99.20    92.54   113.73   117.98   103.82    99.79    49.95    94.08   129.89   128.38   129.92   104.86    93.00    98.74   103.74   119.62   117.50   127.79   143.18   147.11   146.80   145.00   145.74   143.84   145.09   145.97   143.33   144.61   325.38   321.08   318.64   321.36   190.19   316.50   318.40   318.19    94.72   293.88   256.86    81.23   216.16   173.14    55.31   315.69   125.10   109.62   262.33    71.34     0.00     0.00     0.00     0.00   139.39     0.00     0.00     0.00     8.52    26.61    66.70   240.62   103.03   139.66   271.78     0.00   193.87   210.85    55.74   239.35   4498.7  9089520   1618.8  1099240   6359.2   7605600
        1964       5/19/2003                 90.51   128.02    99.17    93.34   113.56   117.81   104.15    98.86    50.08    93.93   128.57   128.49   129.38   105.30    93.64    98.99   103.96   119.05   118.59   126.69   143.47   146.98   147.06   144.27   144.92   143.68   144.92   145.03   144.28   144.86   316.15   316.52   316.86   311.12   187.00   322.05   321.69   309.81    97.31   297.02   255.90    71.39   210.60   171.14    51.10   308.52   120.65   108.81   269.76    74.11     0.00     0.00     0.00     0.00   137.79     0.00     0.00     0.00    15.45    17.80    56.55   245.69   112.97   149.14   267.05     1.83   194.21   205.71    55.41   249.41   4485.1  9224070   1696.1  1150120   6359.2   7796370
        1995       6/19/2003                 91.16   127.65    99.17    92.41   113.68   117.17   104.56    99.03    50.46    94.67   128.37   129.49   129.94   105.92    93.40    97.67   103.76   118.69   118.08   126.90   144.40   147.72   147.43   145.15   145.92   143.63   145.30   145.36   143.71   144.14   312.52   319.39   318.71   325.03   177.00   323.14   322.92   316.17    95.25   301.95   251.38    76.92   207.06   170.03    52.21   308.02   117.38   101.11   263.41    66.02     0.00     0.00     0.00     0.00   142.24     0.00     0.00     0.00    12.94    23.82    66.83   249.99   111.00   154.91   263.19    11.73   208.97   215.43    68.07   236.14   4437.5  9361640   1709.0  1203100   6359.2   7993510
        2025       7/19/2003                 90.33   127.19    99.47    93.84   113.43   117.77   103.94    99.88    49.43    93.47   129.06   128.54   130.65   106.67    93.52    98.53   105.50   119.52   118.30   127.75   143.95   146.75   146.63   144.55   145.47   143.71   144.16   145.05   143.63   144.37   318.44   329.52   307.94   317.77   169.94   316.34   321.59   308.90    96.11   295.21   240.17    69.61   200.44   164.80    54.79   317.44   117.11   102.14   251.37    66.78     0.00     0.00     0.00     0.00   141.09     0.00     0.00     0.00     5.68    20.11    76.55   250.41   116.62   151.69   268.84     7.98   209.96   214.11    55.84   250.76   4425.6  9494400   1765.3  1256060   6359.2   8184280
        2056       8/19/2003                 90.71   127.30    99.22    92.62   113.46   117.41   104.55    99.76    51.24    93.31   128.12   128.53   130.07   105.17    93.84    98.10   105.00   119.48   119.06   127.48   143.48   147.44   146.88   146.58   145.41   143.92   145.36   145.31   143.87   143.95   317.06   318.26   322.66   322.83   180.94   315.64   315.87   319.83   100.37   290.69   246.93    71.33   203.38   164.53    50.94   298.03   109.94   100.51   256.36    74.47     0.00     0.00     0.00     0.00   137.13     0.00     0.00     0.00     8.42    25.84    77.02   241.91   123.20   164.01   264.83    19.01   205.62   221.76    56.99   241.31   4366.4  9629760   1769.6  1310920   6359.2   8381420
        2086       9/18/2003                 90.62   127.06    99.36    93.07   113.30   117.60   105.43    99.75    49.93    92.85   127.71   128.55   130.57   104.51    94.38    98.64   106.34   119.01   118.68   127.33   143.76   148.48   147.26   144.67   145.69   144.75   145.65   145.56   143.63   143.59   321.97   313.07   321.97   317.52   174.43   321.59   317.52   314.91    97.45   288.55   247.09    61.64   192.98   168.79    61.79   292.16    97.86    96.91   249.72    60.86     0.00     0.00     0.00     0.00   149.51     0.00     0.00     0.00     6.35    33.48    79.24   253.09   114.99   155.97   263.00    27.60   218.85   217.25    68.87   252.58   4380.6  9761180   1787.1  1364530   6359.2   8572200
        2116       10/18/2003                91.77   126.97   100.47    92.71   112.93   117.56   104.97    98.98    49.18    93.05   128.90   128.23   130.99   105.65    93.83    98.05   106.04   118.86   119.05   127.80   143.61   147.81   147.08   146.03   145.52   144.18   146.11   146.41   144.98   143.55   320.86   315.13   323.46   314.57   167.37   320.52   313.46   315.38   102.13   290.23   220.41    57.82   200.38   157.97    45.20   293.78    94.56    93.69   247.66    68.95     0.00     0.00     0.00     0.00   151.28     0.00     0.00     0.00     3.89    22.05    88.15   261.46   122.13   154.91   275.63    33.99   207.04   215.79    71.68   251.68   4318.8  9890740   1840.8  1419750   6359.2   8762970
        2147       11/18/2003                90.95   127.46    99.92    93.27   113.35   118.34   105.26   100.84    49.64    93.10   129.29   128.89   129.99   105.27    95.22    97.68   105.38   119.93   119.03   127.32   143.95   147.27   148.11   145.41   146.41   144.03   146.42   144.83   144.31   144.81   319.87   317.61   313.86   320.45   165.92   309.48   318.69   316.51   107.67   284.53   228.32    63.91   183.95   152.01    49.02   282.27    97.12    86.20   239.60    56.05     0.00     0.00     0.00     0.00   153.19     0.00     0.00     0.00    11.53    30.13    76.86   255.18   133.93   169.08   272.12    40.83   214.74   216.02    76.03   253.83   4263.5 10022900   1859.7  1477400   6359.2   8960110
        2177       12/18/2003                91.76   127.86   100.10    95.01   114.16   117.64   104.86    99.29    49.86    91.66   128.56   129.17   130.55   106.02    96.18    97.89   106.58   118.63   118.84   127.31   143.46   147.57   147.61   145.32   145.45   144.02   145.33   146.09   143.57   145.29   318.60   319.09   318.38   322.36   165.97   305.27   308.43   312.03    99.17   285.87   233.95    60.20   189.92   146.69    41.19   274.36    89.31    85.99   245.26    65.33     0.00     0.00     0.00     0.00   156.21     0.00     0.00     0.00     9.53    26.85    95.17   263.27   134.44   165.35   271.81    43.78   228.38   235.18    77.89   251.05   4213.0 10149300   1903.5  1534510   6359.2   9150880
        2208       1/18/2004                 90.67   128.26    99.87    94.49   113.64   119.26   105.21   100.34    49.42    93.30   128.46   129.54   130.81   105.58    95.69    98.44   105.89   119.79   117.61   127.42   144.54   148.45   148.39   144.98   146.16   144.14   145.10   146.10   144.17   144.45   322.22   311.62   316.43   313.60   157.43   320.63   315.86   317.33    87.31   283.53   220.99    62.69   189.61   151.22    39.61   266.85    95.44    94.23   234.71    59.65     0.00     0.00     0.00     0.00   153.75     0.00     0.00     0.00    11.84    29.04    97.10   259.86   122.51   161.68   275.95    42.48   219.99   228.23    68.15   254.53   4187.4 10279100   1958.9  1595230   6359.2   9348020
        2238       2/17/2004                 91.33   127.40   100.35    93.98   113.81   118.62   105.11   100.60    50.84    91.83   128.77   130.16   130.52   106.69    96.09    97.87   106.82   120.00   118.77   127.33   144.56   147.82   146.70   145.74   146.26   144.20   146.66   145.13   144.73   144.42   320.53   309.16   313.76   322.29   161.15   305.43   309.60   318.91    97.48   280.05   218.39    51.66   175.71   151.20    43.40   260.89    81.51    89.01   227.29    60.53     0.00    11.86     0.00     0.00   163.71     0.00     0.00     0.00    13.53    40.84    96.64   262.26   141.95   167.00   272.76    58.07   230.13   236.81    75.19   251.57   4161.0 10403900   1925.1  1652990   6359.2   9538790
        2269       3/19/2004                 90.90   127.72    99.65    94.29   113.73   117.90   105.89   100.63    50.13    90.95   129.19   129.60   130.17   106.36    96.64    98.06   106.66   120.31   117.40   128.00   144.75   147.72   147.35   146.52   146.32   143.91   145.10   146.68   145.31   144.87   308.79   315.46   316.75   324.35   153.33   329.48   309.90   319.07    97.39   283.98   222.36    64.65   187.21   147.60    43.00   259.91    78.39    87.53   238.41    59.45     0.00     8.18     0.00     0.00   164.12     0.00     0.00     0.00     1.21    40.22    98.50   256.87   135.70   162.57   265.43    49.57   230.13   236.14    76.38   266.80   4098.0 10531000   2022.3  1715680   6359.2   9735930
        2299       4/18/2004                 91.75   128.11   100.01    94.29   114.22   118.48   105.66    99.94    49.39    91.43   129.64   129.46   130.89   107.35    96.26    98.57   106.25   119.84   119.31   127.94   144.42   148.37   147.10   145.83   146.13   145.58   145.82   146.84   143.45   144.16   317.59   316.08   324.52   319.91   154.56   312.78   318.89   321.29    99.58   275.81   215.15    53.46   187.97   137.74    46.87   250.32    77.00    76.30   240.03    52.53     0.00    14.84     0.00     0.00   166.33     0.00     0.00     0.00    11.78    35.50   106.81   260.24   132.04   172.69   269.39    58.04   238.64   235.12    83.10   254.13   4147.0 10655400   1991.8  1775430   6359.2   9926700
        2329       5/18/2004                 91.23   127.75    99.49    93.87   114.16   118.45   105.18    99.87    49.19    90.82   128.69   129.80   130.69   107.67    97.03    98.52   107.27   120.25   118.88   128.29   144.07   148.43   147.63   145.99   145.34   143.83   146.52   147.05   146.17   144.56   318.61   301.48   322.31   326.17   153.65   310.81   314.66   326.07    98.63   273.77   212.70    53.03   179.36   144.22    40.06   245.99    82.48    80.53   234.18    58.59     0.00     1.12     0.00     0.00   155.56     0.00     0.00     0.00     2.20    31.99   110.00   267.70   134.20   178.78   273.58    68.62   241.70   234.43    86.52   260.92   4098.4 10778300   2038.7  1836590   6359.2  10117500
        2360       6/18/2004                 91.51   127.87   100.39    94.65   113.82   118.30   106.32   101.12    49.55    90.97   128.71   129.10   131.76   106.78    97.52    99.13   106.70   120.19   119.26   128.31   144.43   147.77   147.62   145.45   146.57   144.62   145.73   145.72   145.05   145.21   319.81   300.38   320.73   326.11   155.74   310.64   313.48   321.93    90.97   278.92   210.28    56.38   181.80   142.74    43.88   246.07    75.15    70.97   230.86    58.65     0.00    13.40     0.00     0.00   172.41     0.00     0.00     0.00    11.41    38.98   117.62   263.42   141.51   176.13   274.83    72.50   241.22   244.54    79.90   268.57   4077.3 10904700   2047.3  1900060   6359.2  10314600
        2390       7/18/2004                 92.10   127.50   100.81    94.56   114.63   118.32   106.27   100.08    50.52    90.64   128.90   129.39   131.67   107.67    97.10    99.47   107.25   120.53   119.73   128.39   144.27   147.57   147.60   146.25   146.25   144.72   146.40   146.10   144.86   144.51   310.42   306.38   324.45   316.61   146.78   313.46   318.32   319.90    94.33   271.20   205.83    53.08   171.51   134.68    45.04   229.47    80.51    81.01   234.67    59.40     0.00     1.90     0.00     0.00   170.32     0.00     0.00     0.00     6.73    51.08   116.32   272.62   146.70   182.51   272.69    78.14   240.58   240.36    85.12   259.73   4055.5 11026400   2116.4  1963550   6359.2  10505400
        2421       8/18/2004                 91.92   128.48   101.04    94.13   115.32   118.79   105.86    99.81    50.20    90.23   129.03   130.33   131.40   108.20    98.30    99.05   108.64   120.94   118.94   129.10   144.28   147.21   148.27   145.75   146.53   143.69   146.00   146.20   144.86   144.45   314.62   305.92   311.37   321.37   155.83   319.35   322.79   316.06    95.08   273.64   202.73    58.71   176.01   130.55    47.28   233.46    67.05    68.00   231.77    60.48     0.00    11.19     0.00     0.00   171.22     0.00     0.00     0.00    18.79    41.80   129.45   279.84   134.16   170.73   270.83    91.78   247.03   244.77    90.69   266.29   4017.0 11150900   2124.8  2029420   6359.2  10702500
        2451       9/17/2004                 91.85   128.50   100.86    94.14   114.38   118.75   105.91   100.63    50.90    89.93   129.13   129.93   131.48   108.16    97.03    98.71   109.22   120.19   119.46   129.16   144.77   147.83   148.13   145.90   146.53   144.66   145.93   146.74   145.21   145.50   320.94   311.83   314.48   311.45   147.52   311.54   316.38   321.11    99.65   278.54   195.47    54.60   174.54   143.32    36.23   216.16    71.60    65.13   226.42    47.46     0.00    16.07     0.00     0.00   174.86     0.00     0.00     0.00     2.26    42.12   122.44   268.38   145.19   190.56   279.63    91.34   250.68   242.03    84.66   262.06   4012.1 11271300   2168.6  2094480   6359.2  10893300
        2481       10/17/2004                91.64   128.30   101.36    94.84   115.17   119.28   106.96   100.26    49.43    90.15   128.58   129.25   131.45   107.73    98.36    99.01   108.86   120.65   119.37   128.16   143.72   149.50   147.89   146.39   145.59   144.87   146.76   146.39   144.49   144.90   315.66   306.26   319.42   319.71   150.76   323.24   323.84   320.77    94.71   268.41   193.53    54.96   177.74   141.16    41.98   222.01    66.01    60.82   237.91    54.51     0.00    10.58     0.00     0.00   168.77     0.00     0.00     0.00    13.83    51.93   125.20   269.48   143.73   180.52   273.02    99.84   255.18   245.29    99.16   262.21   3964.4 11390200   2172.3  2159650   6359.2  11084100
        2512       11/17/2004                92.31   128.27   101.56    95.48   115.32   118.65   106.13   101.19    50.93    90.64   129.43   129.50   131.89   107.35    98.30    99.32   109.44   120.94   120.33   127.97   144.99   148.44   148.36   146.48   145.44   145.32   146.04   146.27   145.03   144.30   321.00   299.04   311.96   321.23   142.46   315.13   321.34   316.67   100.42   267.79   187.80    45.37   169.75   137.65    42.85   218.50    71.95    66.97   219.00    52.69     0.00    10.91     0.00     0.00   173.76     0.00     0.00     0.00     7.37    46.35   117.25   271.06   151.89   177.38   282.33    99.02   257.55   254.87    91.68   261.64   3993.4 11514000   2198.7  2227810   6359.2  11281200
        2542       12/17/2004                92.74   127.51   100.52    95.64   114.94   119.14   106.64   100.01    49.48    89.97   128.96   130.06   132.03   107.80    98.43    98.66   108.94   121.25   120.80   128.95   143.76   147.70   148.75   146.10   146.41   145.02   146.55   147.02   144.42   145.54   315.98   312.18   321.44   325.07   137.50   322.20   328.00   314.78    93.31   264.32   186.85    48.12   167.24   135.77    38.57   202.78    67.36    59.02   226.89    54.34     0.00    13.33     0.00     0.00   174.57     0.00     0.00     0.00     4.73    43.31   116.90   273.44   136.57   179.14   277.57   105.14   258.10   245.90    97.35   270.98   3929.6 11631900   2203.1  2293900   6359.2  11472000
